genome,species,SGB,species_name,Quality_score,Genome_quality,VMGC_representative,genome_is_VMGC_representative,representative,genome_is_representative
SRR13167528.mbin.1,240891,SGB001,Lactobacillus iners,91.76,high-quality,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG404.sbin.5,988598,SGB006,Lactobacillus crispatus,91.76,high-quality,GCF_000162255.1,0,GCF_000162255.1,0
MG442.sbin.16,567022,SGB009,Amygdalobacter indicium (BVAB2),91.76,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
SRR17635585.mbin.16,719869,SGB013,Prevotella_unknown,91.76,high-quality,MG836.mbin.11,0,MG836.mbin.11,0
MG599.mbin.10,123406,SGB010,UBA629 sp005465875 (BVAB1),91.76,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
SRR11749275.mbin.4,499721,SGB040,Lactobacillus mulieris,91.76,high-quality,GCF_000159335.1,0,GCF_000159335.1,0
MG1065.mbin.31,226762,SGB029,Dialister micraerophilus,91.76,high-quality,GCF_000194985.1,0,GCF_000194985.1,0
SRR17635753.mbin.2,900875,SGB025,Prevotella bivia,91.75,high-quality,MG238.mbin.3,0,MG238.mbin.3,0
MG1276.mbin.4,783244,SGB004,Bifidobacterium vaginale,91.75,high-quality,ERR10897722.mbin.1,0,ERR10897722.mbin.1,0
MG385.mbin.6,783244,SGB004,Bifidobacterium vaginale,91.75,high-quality,ERR10897722.mbin.1,0,ERR10897722.mbin.1,0
ERR10897591.mbin.8,927036,SGB016,Bifidobacterium vaginale_A,91.75,high-quality,MG554.mbin.9,0,MG554.mbin.9,0
MG1183.mbin.22,879245,SGB037,Peptoniphilus_A lacrimalis,91.75,high-quality,MG1317.sbin.30,0,MG1317.sbin.30,0
SRR17635678.sbin.9,916256,SGB030,Mobiluncus mulieris,91.75,high-quality,MG190.mbin.7,0,MG190.mbin.7,0
MG1202.mbin.17,941235,SGB014,Prevotella timonensis_A,91.74,high-quality,P10708985.mbin.1,0,P10708985.mbin.1,0
P10709096.sbin.7,927036,SGB016,Bifidobacterium vaginale_A,91.74,high-quality,MG554.mbin.9,0,MG554.mbin.9,0
MG496.mbin.1,320153,SGB023,Megasphaera hutchinsoni,91.74,high-quality,MG1064.mbin.4,0,MG1064.mbin.4,0
MG1300.mbin.9,379267,SGB015,Fannyhessea_unknown,91.74,high-quality,MG918.mbin.24,0,MG410.sbin.17,0
MG689.mbin.3,198418,SGB008,Berryella sp001552935,91.74,high-quality,MG170.mbin.23,0,MG170.mbin.23,0
P10710085.mbin.10,198418,SGB008,Berryella sp001552935,91.74,high-quality,MG170.mbin.23,0,MG170.mbin.23,0
MG1041.mbin.29,382359,SGB022,Prevotella sp000758925,91.74,high-quality,MG160.sbin.15,0,MG160.sbin.15,0
MG1262.mbin.33,941235,SGB014,Prevotella timonensis_A,91.73,high-quality,P10708985.mbin.1,0,P10708985.mbin.1,0
MG1271.mbin.1,567022,SGB009,Amygdalobacter indicium (BVAB2),91.73,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
MG435.mbin.13,567022,SGB009,Amygdalobacter indicium (BVAB2),91.73,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
SRR16916878.mbin.2,567022,SGB009,Amygdalobacter indicium (BVAB2),91.73,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
MG1271.mbin.19,581434,SGB021,Sneathia sanguinegens,91.73,high-quality,SRR17635677.sbin.16,0,SRR17635677.sbin.16,0
MG732.mbin.3,829633,SGB003,Megasphaera lornae,91.72,high-quality,GCF_001553395.1,0,GCF_001553395.1,0
SRR17635763.mbin.10,988627,SGB011,Sneathia vaginalis,91.72,high-quality,MG222.mbin.16,0,MG222.mbin.16,0
SAMN00044684.mbin.9,382359,SGB022,Prevotella sp000758925,91.72,high-quality,MG160.sbin.15,0,MG160.sbin.15,0
MG1016.mbin.12,604471,SGB402,Aeriscardovia_unknown,91.71,high-quality,MG1016.mbin.12,1,MG1016.mbin.12,1
ERR10897712.mbin.2,240891,SGB001,Lactobacillus iners,91.71,high-quality,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG510.mbin.46,941235,SGB014,Prevotella timonensis_A,91.71,high-quality,P10708985.mbin.1,0,P10708985.mbin.1,0
MG454.mbin.9,498055,SGB007,Prevotella amnii,91.71,high-quality,MG1206.mbin.20,0,MG1206.mbin.20,0
SRR17635681.mbin.13,829633,SGB003,Megasphaera lornae,91.71,high-quality,GCF_001553395.1,0,GCF_001553395.1,0
MG1204.mbin.6,379267,SGB015,Fannyhessea_unknown,91.71,high-quality,MG918.mbin.24,0,MG410.sbin.17,0
MG81.sbin.21,856589,SGB027,Fannyhessea massiliensis,91.71,high-quality,GCF_000179715.1,0,GCF_000179715.1,0
ERR10898160.mbin.3,900798,SGB197,Prevotella denticola,91.71,high-quality,GCF_000191765.2,0,GCF_000191765.2,0
MG42.mbin.17,665829,SGB034,Mageeibacillus indolicus (BVAB3),91.71,high-quality,GCF_000025225.2,0,GCF_000025225.2,0
SRR17635707.sbin.40,136202,SGB269,Porphyromonas_unknown,91.7,high-quality,SRR17635707.sbin.40,1,P10709701.sbin.8,0
SRR10258555.mbin.11,829633,SGB003,Megasphaera lornae,91.7,high-quality,GCF_001553395.1,0,GCF_001553395.1,0
MG9.mbin.8,567022,SGB009,Amygdalobacter indicium (BVAB2),91.7,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
MG1062.mbin.9,719869,SGB013,Prevotella_unknown,91.7,high-quality,MG836.mbin.11,0,MG836.mbin.11,0
MG352.mbin.10,667712,SGB012,Dialister sp001553355,91.7,high-quality,MG666.mbin.6,0,MG666.mbin.6,0
MG100.mbin.13,581434,SGB021,Sneathia sanguinegens,91.7,high-quality,SRR17635677.sbin.16,0,SRR17635677.sbin.16,0
MG1152.mbin.30,240891,SGB001,Lactobacillus iners,91.69,high-quality,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG387.mbin.12,498055,SGB007,Prevotella amnii,91.69,high-quality,MG1206.mbin.20,0,MG1206.mbin.20,0
P10710051.mbin.4,829633,SGB003,Megasphaera lornae,91.69,high-quality,GCF_001553395.1,0,GCF_001553395.1,0
MG232.mbin.22,567022,SGB009,Amygdalobacter indicium (BVAB2),91.69,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
SRR11749280.mbin.26,567022,SGB009,Amygdalobacter indicium (BVAB2),91.69,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
SRR12830910.mbin.6,667712,SGB012,Dialister sp001553355,91.69,high-quality,MG666.mbin.6,0,MG666.mbin.6,0
MG1174.mbin.4,900875,SGB025,Prevotella bivia,91.68,high-quality,MG238.mbin.3,0,MG238.mbin.3,0
SRR12830917.sbin.6,619501,SGB002,Fannyhessea vaginae,91.68,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
SRR17635674.mbin.17,927036,SGB016,Bifidobacterium vaginale_A,91.68,high-quality,MG554.mbin.9,0,MG554.mbin.9,0
MG446.mbin.24,829633,SGB003,Megasphaera lornae,91.68,high-quality,GCF_001553395.1,0,GCF_001553395.1,0
MG732.mbin.7,567022,SGB009,Amygdalobacter indicium (BVAB2),91.68,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
MG554.mbin.4,198418,SGB008,Berryella sp001552935,91.68,high-quality,MG170.mbin.23,0,MG170.mbin.23,0
MG1133.mbin.4,927036,SGB016,Bifidobacterium vaginale_A,91.67,high-quality,MG554.mbin.9,0,MG554.mbin.9,0
MG1324.mbin.6,829633,SGB003,Megasphaera lornae,91.67,high-quality,GCF_001553395.1,0,GCF_001553395.1,0
MG370.sbin.11,829633,SGB003,Megasphaera lornae,91.67,high-quality,GCF_001553395.1,0,GCF_001553395.1,0
MG605.mbin.6,829633,SGB003,Megasphaera lornae,91.67,high-quality,GCF_001553395.1,0,GCF_001553395.1,0
MG1058.mbin.17,198418,SGB008,Berryella sp001552935,91.67,high-quality,MG170.mbin.23,0,MG170.mbin.23,0
SRR17635649.sbin.12,625126,SGB074,Porphyromonas sp001552775,91.67,high-quality,MG295.mbin.9,0,MG295.mbin.9,0
MG1132.mbin.25,581434,SGB021,Sneathia sanguinegens,91.67,high-quality,SRR17635677.sbin.16,0,SRR17635677.sbin.16,0
P10709104.mbin.8,240891,SGB001,Lactobacillus iners,91.66,high-quality,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG1227.mbin.3,941235,SGB014,Prevotella timonensis_A,91.66,high-quality,P10708985.mbin.1,0,P10708985.mbin.1,0
P10709468.mbin.24,829633,SGB003,Megasphaera lornae,91.66,high-quality,GCF_001553395.1,0,GCF_001553395.1,0
MG589.mbin.4,567022,SGB009,Amygdalobacter indicium (BVAB2),91.66,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
MG935.mbin.3,567022,SGB009,Amygdalobacter indicium (BVAB2),91.66,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
SRR16470980.mbin.21,567022,SGB009,Amygdalobacter indicium (BVAB2),91.66,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
SRR16471075.mbin.20,567022,SGB009,Amygdalobacter indicium (BVAB2),91.66,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
MG84.mbin.9,879245,SGB037,Peptoniphilus_A lacrimalis,91.66,high-quality,MG1317.sbin.30,0,MG1317.sbin.30,0
SRR17635503.sbin.13,845738,SGB071,Prevotella colorans,91.66,high-quality,MG1050.mbin.7,0,MG1050.mbin.7,0
MG669.mbin.20,988627,SGB011,Sneathia vaginalis,91.66,high-quality,MG222.mbin.16,0,MG222.mbin.16,0
MG1087.mbin.19,382359,SGB022,Prevotella sp000758925,91.66,high-quality,MG160.sbin.15,0,MG160.sbin.15,0
P10710013.mbin.9,941235,SGB014,Prevotella timonensis_A,91.65,high-quality,P10708985.mbin.1,0,P10708985.mbin.1,0
P10709108.mbin.6,367459,SGB005,Bifidobacterium swidsinskii,91.65,high-quality,MG1112.mbin.9,0,MG1112.mbin.9,0
MG1302.mbin.3,829633,SGB003,Megasphaera lornae,91.65,high-quality,GCF_001553395.1,0,GCF_001553395.1,0
MG204.mbin.17,829633,SGB003,Megasphaera lornae,91.65,high-quality,GCF_001553395.1,0,GCF_001553395.1,0
MG514.mbin.28,567022,SGB009,Amygdalobacter indicium (BVAB2),91.65,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
MG713.mbin.6,567022,SGB009,Amygdalobacter indicium (BVAB2),91.65,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
MG1132.mbin.33,123406,SGB010,UBA629 sp005465875 (BVAB1),91.65,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG1080.mbin.33,536396,SGB050,Peptostreptococcus anaerobius,91.65,high-quality,SRR16470951.mbin.17,0,SRR16470951.mbin.17,0
MG909.mbin.8,240891,SGB001,Lactobacillus iners,91.64,high-quality,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG269.mbin.21,829633,SGB003,Megasphaera lornae,91.64,high-quality,GCF_001553395.1,0,GCF_001553395.1,0
ERR4705252.mbin.7,567022,SGB009,Amygdalobacter indicium (BVAB2),91.64,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
MG1317.sbin.4,379267,SGB015,Fannyhessea_unknown,91.64,high-quality,MG918.mbin.24,0,MG410.sbin.17,0
MG1369.mbin.4,223646,SGB064,Lactobacillus paragasseri,91.64,high-quality,GCF_900636895.1,0,GCF_019459585.1,0
MG541.sbin.16,123406,SGB010,UBA629 sp005465875 (BVAB1),91.64,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
SRR16916880.sbin.18,667712,SGB012,Dialister sp001553355,91.64,high-quality,MG666.mbin.6,0,MG666.mbin.6,0
MG171.mbin.22,719869,SGB035,Prevotella_unknown,91.64,high-quality,MG214.mbin.27,0,MG836.mbin.11,0
MG162.mbin.17,719869,SGB054,Prevotella_unknown,91.64,high-quality,MG691.mbin.15,0,MG836.mbin.11,0
SRR17635496.mbin.6,755152,SGB212,Corynebacterium pyruviciproducens,91.64,high-quality,SRR17635712.mbin.4,0,SRR17635712.mbin.4,0
ERR2244536.mbin.1,240891,SGB001,Lactobacillus iners,91.63,high-quality,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
SRR11749281.mbin.6,379267,SGB015,Fannyhessea_unknown,91.63,high-quality,MG918.mbin.24,0,MG410.sbin.17,0
SRR17635629.mbin.6,856589,SGB027,Fannyhessea massiliensis,91.63,high-quality,GCF_000179715.1,0,GCF_000179715.1,0
MG94.mbin.10,667712,SGB012,Dialister sp001553355,91.63,high-quality,MG666.mbin.6,0,MG666.mbin.6,0
MG575.mbin.8,382359,SGB022,Prevotella sp000758925,91.63,high-quality,MG160.sbin.15,0,MG160.sbin.15,0
SRR17635679.mbin.26,791236,SGB080,Amygdalobacter nucleatus,91.63,high-quality,GCF_001552885.1,0,GCF_001552885.1,0
SRR17635492.sbin.5,547390,SGB206,Berryella sp900604965,91.63,high-quality,GCF_900604965.1,0,GCF_900604965.1,0
MG1256.mbin.8,567022,SGB009,Amygdalobacter indicium (BVAB2),91.62,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
P10709480.mbin.1,567022,SGB009,Amygdalobacter indicium (BVAB2),91.62,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
MG659.mbin.34,332460,SGB048,Prevotella disiens,91.62,high-quality,GCF_000179675.1,0,GCF_000179675.1,0
MG1202.mbin.9,927036,SGB016,Bifidobacterium vaginale_A,91.61,high-quality,MG554.mbin.9,0,MG554.mbin.9,0
SRR17635480.mbin.6,829633,SGB003,Megasphaera lornae,91.61,high-quality,GCF_001553395.1,0,GCF_001553395.1,0
MG1262.mbin.36,567022,SGB009,Amygdalobacter indicium (BVAB2),91.61,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
MG1057.mbin.24,856589,SGB027,Fannyhessea massiliensis,91.61,high-quality,GCF_000179715.1,0,GCF_000179715.1,0
MG693.mbin.15,719869,SGB013,Prevotella_unknown,91.61,high-quality,MG836.mbin.11,0,MG836.mbin.11,0
MG1305.sbin.9,856589,SGB086,Fannyhessea massiliensis,91.61,high-quality,GCF_900343135.1,0,GCF_000179715.1,0
GCF_003397665.1,783244,SGB004,Bifidobacterium vaginale,91.6,high-quality,ERR10897722.mbin.1,0,ERR10897722.mbin.1,0
SRR10258546.mbin.3,829633,SGB003,Megasphaera lornae,91.6,high-quality,GCF_001553395.1,0,GCF_001553395.1,0
ERR10898300.mbin.18,567022,SGB009,Amygdalobacter indicium (BVAB2),91.6,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
MG352.mbin.13,226762,SGB029,Dialister micraerophilus,91.6,high-quality,GCF_000194985.1,0,GCF_000194985.1,0
MG1338.mbin.3,482453,SGB078,Nanoperiomorbus_unknown,91.6,high-quality,MG144.mbin.21,0,MG368.mbin.8,0
SRR12018849.mbin.1,571325,SGB018,Lactobacillus jensenii,91.59,high-quality,GCF_027155795.1,0,GCF_027155795.1,0
MG695.mbin.22,927036,SGB016,Bifidobacterium vaginale_A,91.59,high-quality,MG554.mbin.9,0,MG554.mbin.9,0
MG214.mbin.26,320153,SGB023,Megasphaera hutchinsoni,91.59,high-quality,MG1064.mbin.4,0,MG1064.mbin.4,0
SRR10258555.mbin.12,320153,SGB023,Megasphaera hutchinsoni,91.59,high-quality,MG1064.mbin.4,0,MG1064.mbin.4,0
MG293.mbin.4,567022,SGB009,Amygdalobacter indicium (BVAB2),91.59,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
MG422.mbin.8,581434,SGB021,Sneathia sanguinegens,91.59,high-quality,SRR17635677.sbin.16,0,SRR17635677.sbin.16,0
SRR17635632.mbin.1,404385,SGB116,Corynebacterium coyleae,91.59,high-quality,SRR17635580.mbin.7,0,SRR17635580.mbin.7,0
MG1498.mbin.14,927036,SGB016,Bifidobacterium vaginale_A,91.58,high-quality,MG554.mbin.9,0,MG554.mbin.9,0
SRR17635596.sbin.8,829633,SGB003,Megasphaera lornae,91.58,high-quality,GCF_001553395.1,0,GCF_001553395.1,0
MG1073.sbin.6,382359,SGB022,Prevotella sp000758925,91.58,high-quality,MG160.sbin.15,0,MG160.sbin.15,0
MG5.mbin.9,382359,SGB022,Prevotella sp000758925,91.58,high-quality,MG160.sbin.15,0,MG160.sbin.15,0
MG117.mbin.11,719869,SGB035,Prevotella_unknown,91.58,high-quality,MG214.mbin.27,0,MG836.mbin.11,0
SAMN00088853.mbin.8,619501,SGB002,Fannyhessea vaginae,91.57,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
MG1083.mbin.3,829633,SGB003,Megasphaera lornae,91.57,high-quality,GCF_001553395.1,0,GCF_001553395.1,0
P10710013.mbin.16,829633,SGB003,Megasphaera lornae,91.57,high-quality,GCF_001553395.1,0,GCF_001553395.1,0
SRR17635682.sbin.21,829633,SGB003,Megasphaera lornae,91.57,high-quality,GCF_001553395.1,0,GCF_001553395.1,0
SRR17635474.mbin.23,536396,SGB050,Peptostreptococcus anaerobius,91.57,high-quality,SRR16470951.mbin.17,0,SRR16470951.mbin.17,0
MG1515.sbin.1,240891,SGB001,Lactobacillus iners,91.56,high-quality,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG983.mbin.1,783244,SGB004,Bifidobacterium vaginale,91.56,high-quality,ERR10897722.mbin.1,0,ERR10897722.mbin.1,0
MG868.mbin.5,198418,SGB008,Berryella sp001552935,91.56,high-quality,MG170.mbin.23,0,MG170.mbin.23,0
MG543.mbin.1,240891,SGB001,Lactobacillus iners,91.55,high-quality,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
SRR12018840.sbin.1,240891,SGB001,Lactobacillus iners,91.55,high-quality,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG1211.mbin.12,988598,SGB006,Lactobacillus crispatus,91.55,high-quality,GCF_000162255.1,0,GCF_000162255.1,0
MG1103.mbin.7,619501,SGB002,Fannyhessea vaginae,91.55,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
MG273.mbin.3,899308,SGB057,Streptococcus anginosus,91.55,high-quality,GCF_900096985.1,0,GCF_900096985.1,0
MG1325.mbin.18,829633,SGB003,Megasphaera lornae,91.55,high-quality,GCF_001553395.1,0,GCF_001553395.1,0
SRR17635685.mbin.15,567022,SGB009,Amygdalobacter indicium (BVAB2),91.55,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
MG141.mbin.5,988627,SGB011,Sneathia vaginalis,91.55,high-quality,MG222.mbin.16,0,MG222.mbin.16,0
SRR12018937.mbin.3,240891,SGB001,Lactobacillus iners,91.54,high-quality,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG95.mbin.23,829633,SGB003,Megasphaera lornae,91.54,high-quality,GCF_001553395.1,0,GCF_001553395.1,0
MG1001.sbin.11,567022,SGB009,Amygdalobacter indicium (BVAB2),91.54,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
MG258.mbin.15,567022,SGB009,Amygdalobacter indicium (BVAB2),91.54,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
MG879.sbin.10,567022,SGB009,Amygdalobacter indicium (BVAB2),91.54,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
SRR18765399.mbin.4,567022,SGB009,Amygdalobacter indicium (BVAB2),91.54,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
MG114.mbin.7,719869,SGB013,Prevotella_unknown,91.54,high-quality,MG836.mbin.11,0,MG836.mbin.11,0
MG196.mbin.7,542621,SGB024,Aerococcus christensenii,91.54,high-quality,P10709641.mbin.2,0,P10709641.mbin.2,0
MG353.sbin.3,667712,SGB012,Dialister sp001553355,91.54,high-quality,MG666.mbin.6,0,MG666.mbin.6,0
MG1256.sbin.13,736944,SGB107,Bulleidia_unknown,91.54,high-quality,MG1172.sbin.19,0,MG1172.sbin.19,0
MG364.mbin.10,367459,SGB005,Bifidobacterium swidsinskii,91.53,high-quality,MG1112.mbin.9,0,MG1112.mbin.9,0
SAMN00044684.sbin.8,320153,SGB023,Megasphaera hutchinsoni,91.53,high-quality,MG1064.mbin.4,0,MG1064.mbin.4,0
MG694.mbin.2,567022,SGB009,Amygdalobacter indicium (BVAB2),91.53,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
MG629.mbin.3,379267,SGB015,Fannyhessea_unknown,91.53,high-quality,MG918.mbin.24,0,MG410.sbin.17,0
MG1101.mbin.16,198418,SGB008,Berryella sp001552935,91.53,high-quality,MG170.mbin.23,0,MG170.mbin.23,0
P10707843.mbin.1,198418,SGB008,Berryella sp001552935,91.53,high-quality,MG170.mbin.23,0,MG170.mbin.23,0
MG337.mbin.27,665829,SGB034,Mageeibacillus indolicus (BVAB3),91.53,high-quality,GCF_000025225.2,0,GCF_000025225.2,0
MG521.mbin.7,382359,SGB022,Prevotella sp000758925,91.53,high-quality,MG160.sbin.15,0,MG160.sbin.15,0
MG1169.mbin.23,921722,SGB017,Parvimonas sp001552895,91.53,high-quality,MG61.mbin.16,0,MG61.mbin.16,0
ERR10898078.mbin.1,240891,SGB001,Lactobacillus iners,91.52,high-quality,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG581.mbin.1,367459,SGB005,Bifidobacterium swidsinskii,91.52,high-quality,MG1112.mbin.9,0,MG1112.mbin.9,0
MG1354.mbin.9,379267,SGB015,Fannyhessea_unknown,91.52,high-quality,MG918.mbin.24,0,MG410.sbin.17,0
MG1244.mbin.9,542621,SGB024,Aerococcus christensenii,91.52,high-quality,P10709641.mbin.2,0,P10709641.mbin.2,0
MG1321.mbin.6,344406,SGB104,Staphylococcus haemolyticus,91.52,high-quality,GCF_001811815.1,0,GCF_001811815.1,0
MG1044.mbin.15,667712,SGB012,Dialister sp001553355,91.52,high-quality,MG666.mbin.6,0,MG666.mbin.6,0
SRR17635518.mbin.10,320153,SGB023,Megasphaera hutchinsoni,91.51,high-quality,MG1064.mbin.4,0,MG1064.mbin.4,0
SRR16916856.mbin.9,567022,SGB009,Amygdalobacter indicium (BVAB2),91.51,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
MG467.mbin.2,123406,SGB010,UBA629 sp005465875 (BVAB1),91.51,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG14.mbin.3,198418,SGB008,Berryella sp001552935,91.51,high-quality,MG170.mbin.23,0,MG170.mbin.23,0
SRR17635707.mbin.26,856531,SGB067,Sodaliphilus_unknown,91.51,high-quality,MG222.mbin.12,0,MG222.mbin.12,0
MG1221.mbin.8,581434,SGB021,Sneathia sanguinegens,91.51,high-quality,SRR17635677.sbin.16,0,SRR17635677.sbin.16,0
P10709681.mbin.34,829633,SGB003,Megasphaera lornae,91.5,high-quality,GCF_001553395.1,0,GCF_001553395.1,0
P10709271.mbin.8,332460,SGB048,Prevotella disiens,91.5,high-quality,GCF_000179675.1,0,GCF_000179675.1,0
MG1155.mbin.14,921722,SGB017,Parvimonas sp001552895,91.5,high-quality,MG61.mbin.16,0,MG61.mbin.16,0
MG126.mbin.16,783244,SGB004,Bifidobacterium vaginale,91.49,high-quality,ERR10897722.mbin.1,0,ERR10897722.mbin.1,0
MG1329.mbin.19,829633,SGB003,Megasphaera lornae,91.49,high-quality,GCF_001553395.1,0,GCF_001553395.1,0
MG314.mbin.24,567022,SGB009,Amygdalobacter indicium (BVAB2),91.49,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
MG13.mbin.1,719869,SGB013,Prevotella_unknown,91.49,high-quality,MG836.mbin.11,0,MG836.mbin.11,0
ERR4421628.sbin.1,240891,SGB001,Lactobacillus iners,91.48,high-quality,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
SRR11749268.mbin.5,240891,SGB001,Lactobacillus iners,91.48,high-quality,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG673.mbin.10,567022,SGB009,Amygdalobacter indicium (BVAB2),91.48,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
P10710408.mbin.5,567022,SGB009,Amygdalobacter indicium (BVAB2),91.48,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
MG1073.mbin.8,123406,SGB010,UBA629 sp005465875 (BVAB1),91.48,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG31.sbin.1,198418,SGB008,Berryella sp001552935,91.48,high-quality,MG170.mbin.23,0,MG170.mbin.23,0
SRR17635692.mbin.9,916256,SGB030,Mobiluncus mulieris,91.48,high-quality,MG190.mbin.7,0,MG190.mbin.7,0
SRR17635807.sbin.38,829633,SGB003,Megasphaera lornae,91.47,high-quality,GCF_001553395.1,0,GCF_001553395.1,0
MG304.mbin.2,567022,SGB009,Amygdalobacter indicium (BVAB2),91.47,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
MG579.mbin.9,567022,SGB009,Amygdalobacter indicium (BVAB2),91.47,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
MG258.sbin.25,619501,SGB002,Fannyhessea vaginae,91.46,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
SRR17635674.sbin.10,498055,SGB007,Prevotella amnii,91.46,high-quality,MG1206.mbin.20,0,MG1206.mbin.20,0
MG549.mbin.8,927036,SGB016,Bifidobacterium vaginale_A,91.46,high-quality,MG554.mbin.9,0,MG554.mbin.9,0
MG700.mbin.6,927036,SGB016,Bifidobacterium vaginale_A,91.46,high-quality,MG554.mbin.9,0,MG554.mbin.9,0
MG1069.mbin.18,567022,SGB009,Amygdalobacter indicium (BVAB2),91.46,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
MG621.mbin.2,581434,SGB021,Sneathia sanguinegens,91.46,high-quality,SRR17635677.sbin.16,0,SRR17635677.sbin.16,0
SRR18765399.mbin.13,927036,SGB016,Bifidobacterium vaginale_A,91.45,high-quality,MG554.mbin.9,0,MG554.mbin.9,0
SRR17635797.mbin.9,829633,SGB003,Megasphaera lornae,91.45,high-quality,GCF_001553395.1,0,GCF_001553395.1,0
SRR17635689.mbin.26,567022,SGB009,Amygdalobacter indicium (BVAB2),91.45,high-quality,GCF_029101565.1,0,MG1201.mbin.9,0
MG734.mbin.18,379267,SGB015,Fannyhessea_unknown,91.45,high-quality,MG918.mbin.24,0,MG410.sbin.17,0
MG160.mbin.19,482453,SGB078,Nanoperiomorbus_unknown,91.45,high-quality,MG144.mbin.21,0,MG368.mbin.8,0
MG1171.sbin.29,320153,SGB023,Megasphaera hutchinsoni,91.44,high-quality,MG1064.mbin.4,0,MG1064.mbin.4,0
MG75.sbin.19,829633,SGB003,Megasphaera lornae,91.44,high-quality,GCF_001553395.1,0,GCF_001553395.1,0
SRR17635514.mbin.1,379267,SGB015,Fannyhessea_unknown,91.44,high-quality,MG918.mbin.24,0,MG410.sbin.17,0
ERR10897906.mbin.5,344406,SGB104,Staphylococcus haemolyticus,91.44,high-quality,GCF_001811815.1,0,GCF_001811815.1,0
MG206.mbin.33,226762,SGB029,Dialister micraerophilus,91.44,high-quality,GCF_000194985.1,0,GCF_000194985.1,0
MG1235.mbin.5,361681,SGB111,Streptococcus mitis_BF,91.44,high-quality,MG267.mbin.14,0,MG267.mbin.14,0
SRR16916848.mbin.1,619501,SGB002,Fannyhessea vaginae,91.43,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
MG731.sbin.4,379267,SGB015,Fannyhessea_unknown,91.43,high-quality,MG918.mbin.24,0,MG410.sbin.17,0
MG214.mbin.23,667712,SGB012,Dialister sp001553355,91.43,high-quality,MG666.mbin.6,0,MG666.mbin.6,0
MG1056.mbin.27,581434,SGB021,Sneathia sanguinegens,91.43,high-quality,SRR17635677.sbin.16,0,SRR17635677.sbin.16,0
MG1041.mbin.21,924646,SGB139,Atopobacter_unknown,91.43,high-quality,MG288.sbin.16,0,MG288.sbin.16,0
