Assembly Accession	CheckM contamination	CheckM completeness	Assembly Stats Total Sequence Length
GCF_003948725.1	1.07	97.59	3781486
GCF_003948745.1	0.17	99.78	3995762
GCF_003948775.1	1.53	99.94	3823751
GCF_003948785.1	0.17	99.81	4008656
GCF_003948795.1	0.17	99.61	3850594
GCF_003948805.1	0.17	99.94	3989735
GCF_003948835.1	1.84	99.6	3924306
GCF_003948875.1	0.17	99.83	4025036
GCF_003948885.1	0.17	99.94	4008012
GCF_003948895.1	0.17	99.61	3968338
GCF_003948905.1	0.42	99.79	3905067
GCF_003948915.1	0.17	99.94	4124352
GCF_003948975.1	0.17	99.94	4085793
GCF_003948985.1	0.02	99.82	3707621
GCF_003948995.1	0.25	99.61	3839427
GCF_003949015.1	1.09	99.94	4048231
GCF_003949025.1	0.25	99.94	3984264
GCF_003949075.1	0.25	99.5	3895098
GCF_003949095.1	0.17	99.52	4005234
GCF_003949105.1	0.17	99.44	4007416
GCF_003949115.2	0.17	99.52	4099363
GCF_003949125.1	0.88	98.47	3626940
GCF_003949175.1	0.17	99.5	3899167
GCF_003949195.1	4.47	97.16	4004405
GCF_003949205.1	0.17	99.94	3990295
GCF_003949225.1	0.17	99.94	4001253
GCF_003949235.1	0.98	99.08	3934943
GCF_003949275.1	0.17	99.94	3988348
GCF_003949295.2	0.17	99.61	4047000
GCF_003949305.1	0.17	99.61	3966305
GCF_003949325.1	0.17	99.94	4104336
GCF_003949335.1	1.12	98.84	3908194
GCF_003949365.1	0.17	99.86	3946763
GCF_003949395.1	0.17	99.52	4003534
GCF_003949405.1	0.17	99.52	4008727
GCF_003949425.1	0.25	99.94	3830282
GCF_003949435.1	0.17	99.44	3985363
GCF_003949485.1	0.17	99.19	3971255
GCF_003949555.1	0.17	99.94	4058957
GCF_003949575.1	0.17	99.9	4126506
GCF_003949595.2	0.17	99.94	4052320
GCF_003949615.1	0.17	99.78	3993159
GCF_003949635.1	0.25	98.89	3953870
GCF_003949655.1	0.17	99.86	3987821
GCF_003949725.2	0.17	99.52	4113446
GCF_003949755.1	0.17	99.94	3936384
GCF_003949765.1	0.17	99.94	4053759
GCF_003949935.1	0.25	99.94	3888204
GCF_003953975.1	0.17	99.78	3969308
GCF_003953985.1	0.17	99.78	3981918
GCF_003954005.1	0.17	99.78	3962805
GCF_003954085.1	0.17	99.78	3867830
GCF_003954095.1	0.17	99.7	3887714
GCF_003954105.1	0.17	99.78	3901369
GCF_003954115.1	0.25	99.33	3959754
GCF_003954175.1	0.17	99.78	3895894
GCF_003954215.1	0.17	99.78	3905834
GCF_003954235.1	0.17	99.61	3974445
GCF_003954275.1	0.31	97.87	3757212
GCF_003954315.1	0.17	99.73	3956832
GCF_003954365.1	0.17	99.78	3952739
GCF_003954415.1	0.17	99.94	3878882
GCF_003954595.1	0.17	99.78	3989361
GCF_003954795.1	0.17	98.39	3835163
GCF_003954845.1	0.17	99.75	3937971
GCF_003954905.1	0.31	98.86	3988007
GCF_003955235.1	0.25	99.33	3949215
GCF_003955305.1	0.31	99.2	3985371
GCF_003955355.1	0.56	99.59	4164488
GCF_003955385.1	0.25	99.33	3865941
GCF_003955435.1	0.17	99.42	3846481
GCF_003955485.1	0.25	99.78	3974884
GCF_003965825.1	0.29	99.83	3864380
GCF_003966015.1	0.09	99.27	4120352
GCF_003970215.1	0.45	99.94	4181791
GCF_003976955.1	1.21	99.83	4012364
GCF_003976985.1	1.12	99.75	4013342
GCF_003977015.1	1.21	99.5	3992529
GCF_003977045.1	1.21	99.83	4012875
GCF_003979005.1	0.17	99.75	4021807
GCF_003984795.1	0.59	99.38	3879679
GCF_003991295.1	0.08	99.88	3916714
GCF_003994455.1	0.53	99.48	3792224
GCF_004028375.1	0.74	99.22	4023316
GCF_004101685.1	0.17	99.94	3937511
GCF_004101705.1	0.17	99.83	3940649
GCF_004101725.1	0.17	99.94	3934099
GCF_004101745.1	0.17	99.72	3944921
GCF_004101965.1	0.82	99.72	3942421
GCF_004123315.1	0.91	99.8	3950781
GCF_004136355.1	0.17	99.61	4058498
GCF_004136905.1	0.25	99.94	3960536
GCF_004136925.1	0.25	99.94	3957643
GCF_004152685.1	1.7	99.52	3955146
GCF_004152715.1	1.9	99.78	4117070
GCF_004152785.1	1.9	99.78	4125883
GCF_004152945.1	0.25	99.94	3963527
GCF_004153295.1	1.9	99.78	4123595
GCF_004153595.1	1.29	99.86	4100193
GCF_004168615.1	0.25	99.88	3966120
GCF_004194555.1	1.54	97.02	3885290
GCF_004208995.1	0.7	98.57	3806034
GCF_004209005.1	1.21	99.66	4013639
GCF_004209025.1	1.32	99.83	3985621
GCF_004209035.1	1.19	99.79	3994608
GCF_004209075.1	1.94	98.49	3956631
GCF_004209195.1	0.43	99.5	4149503
GCF_004209205.1	0.53	96.32	3665579
GCF_004209215.1	1.59	93.79	3717263
GCF_004209225.1	1.06	99.66	3935060
GCF_004209675.1	0.25	99.94	3933260
GCF_004209715.1	0.25	99.94	4049751
GCF_004282835.1	0.17	99.1	3934686
GCF_004282845.1	0.17	99.1	3955162
GCF_004296275.1	0.17	99.61	3882957
GCF_004299615.1	1.03	99.83	4025989
GCF_004321575.1	1.21	99.78	3999442
GCF_004321595.1	1.21	99.75	4054813
GCF_004347305.1	0.25	99.47	3834411
GCF_004347325.1	1.03	98.8	3984489
GCF_004354125.1	1.34	99.69	3975250
GCF_004354145.1	0.9	99.94	3954288
GCF_004354165.1	0.32	99.58	3783653
GCF_004354185.1	1.13	97.78	3975069
GCF_004357075.1	1.65	99.86	3979709
GCF_004357085.1	0.81	99.75	4063131
GCF_004357095.1	0.64	99.7	4045612
GCF_004357105.1	0.36	99.52	4119284
GCF_004357125.1	0.25	99.78	4080009
GCF_004357175.1	0.72	99.5	4076324
GCF_004357185.1	1.01	99.48	4082701
GCF_004357205.1	1.2	99.61	4158554
GCF_004357225.1	0.89	99.16	3924942
GCF_004357275.1	0.41	99.5	4090652
GCF_004357285.1	1.4	99.9	4026451
GCF_004357295.1	0.78	99.42	4084374
GCF_004359905.1	1.09	98.96	4017885
GCF_004377785.1	0.19	99.61	4085371
GCF_004378285.1	0.25	99.61	3921544
GCF_004378295.1	0.28	99.76	3927973
GCF_004378395.1	0.25	99.94	3987320
GCF_004378435.1	0.25	99.83	3854202
GCF_004378505.1	0.25	99.57	3939464
GCF_004378525.1	0.25	99.83	3854135
GCF_004378535.1	0.25	99.81	3862990
GCF_004378545.1	0.25	99.83	3921980
GCF_004378625.1	0.17	99.61	4002867
GCF_004564095.1	1.35	99.13	3956226
GCF_004564115.1	3.51	98.99	3932447
GCF_004758865.1	0.55	97.89	4172366
GCF_004768705.1	1.25	99.86	4045550
GCF_004790725.1	0.67	99.52	3743802
GCF_004794205.1	1.43	99.72	4021107
GCF_004799205.1	0.17	99.72	3944772
GCF_004799225.1	0.17	99.47	3907254
GCF_004912235.1	0.56	99.75	4174266
GCF_004912245.1	0.61	99.94	3838422
GCF_005048905.1	0.25	99.83	3926660
GCF_005280375.1	1.31	96.38	3968665
GCF_005280435.1	0.51	98.58	4277985
GCF_005280675.1	1.07	98.67	3796961
GCF_005280695.1	0.25	96.86	4012118
GCF_005280715.1	0.68	96.49	4042612
GCF_005298065.1	0.38	99.86	3988296
GCF_005298085.1	0.38	99.86	3936469
GCF_005518095.1	0.53	98.67	4366589
GCF_005671375.1	0.17	99.9	4136467
GCF_005784435.1	0.25	99.94	3976680
GCF_005784445.1	0.17	99.61	3872992
GCF_005784525.1	0.17	99.61	3889472
GCF_005784535.1	0.17	99.61	3901966
GCF_005784565.1	0.17	99.61	3875961
GCF_005784575.1	0.17	99.61	3858410
GCF_005784585.1	0.25	99.83	3852015
GCF_005784625.1	0.25	99.94	3877265
GCF_005784645.1	0.25	99.94	3876686
GCF_005784655.1	0.25	99.83	3872024
GCF_005784685.1	0.25	99.9	3871676
GCF_005784705.1	0.17	99.61	3870311
GCF_005784725.1	0.25	99.79	3871569
GCF_005784745.1	0.25	99.9	3872454
GCF_005784755.1	0.25	99.79	3871450
GCF_005784785.1	0.25	99.94	3906887
GCF_005784795.1	0.25	99.94	3941109
GCF_005784825.1	0.25	99.94	3963414
GCF_005784835.1	0.25	99.83	3833438
GCF_005784865.1	0.27	99.94	4006616
GCF_005784875.1	0.25	99.5	3951160
GCF_005784885.1	0.25	99.79	3976030
GCF_005784925.1	0.17	99.61	3978058
GCF_005784945.1	0.51	99.61	3992127
GCF_005784965.1	0.25	99.94	3898703
GCF_005784975.1	0.17	99.61	3964534
GCF_005784985.1	0.17	99.61	3968189
GCF_005785025.1	0.25	99.94	3936644
GCF_005785045.1	0.17	99.61	3968520
GCF_005785065.1	0.17	99.61	3859246
GCF_005785075.1	0.18	99.52	3896040
GCF_005785095.1	0.19	99.61	3941136
GCF_005785115.1	0.25	99.94	3871931
GCF_005785125.1	0.25	99.94	3968142
GCF_005785165.1	0.17	99.61	3863726
GCF_005785185.1	0.17	99.61	3867452
GCF_005785205.1	0.25	99.61	3905252
GCF_005785215.1	0.25	99.94	3970074
GCF_005785225.1	0.06	99.52	3964666
GCF_005785265.1	0.06	99.5	3982657
GCF_005785275.1	0.06	99.5	4004335
GCF_005785305.1	0.25	99.9	3905619
GCF_005785315.1	0.25	99.9	3906701
GCF_005785325.1	0.25	99.9	3908121
GCF_005785355.1	0.25	99.9	3907483
GCF_005785385.1	0.25	99.81	3967324
GCF_005785405.1	0.25	99.9	3908406
GCF_005785415.1	0.25	99.94	3834119
GCF_005785445.1	0.32	99.94	3873990
GCF_005785455.1	0.25	99.79	3912676
GCF_005785465.1	0.25	99.79	3952592
GCF_005785505.1	0.25	99.79	3908467
GCF_005785515.1	0.25	99.9	3906565
GCF_005785545.1	0.25	99.83	3978852
GCF_005785555.1	0.25	99.94	3828218
GCF_005785575.1	0.25	99.83	3814861
GCF_005785605.1	0.25	99.94	3814157
GCF_005785615.1	0.25	99.9	3872465
GCF_005785645.1	0.25	99.9	3869701
GCF_005785665.1	0.25	99.83	3894368
GCF_005785675.1	0.25	99.94	3819413
GCF_005785695.1	0.25	99.94	3943981
GCF_005785725.1	0.25	99.45	3895968
GCF_005785745.1	0.25	99.45	3897409
GCF_005785765.1	0.25	99.82	3897747
GCF_005785775.1	0.25	99.83	3962011
GCF_005785785.1	0.25	99.83	3979556
GCF_005785815.1	0.25	99.71	3894499
GCF_005785845.1	0.59	99.79	3916595
GCF_005785865.1	0.25	99.94	3977296
GCF_005785875.1	0.25	99.9	3893658
GCF_005785885.1	0.25	99.94	3966317
GCF_005785895.1	0.25	99.79	3893694
GCF_005785945.1	0.25	99.83	3910754
GCF_005785965.1	0.25	99.83	3912347
GCF_005785985.1	0.25	99.83	3815022
GCF_005785995.1	0.25	99.83	3815640
GCF_005786005.1	0.25	99.83	3883335
GCF_005786015.1	0.25	99.83	3816924
GCF_005786065.1	0.25	99.88	3813822
GCF_005786085.1	0.25	99.9	3918887
GCF_005786095.1	0.25	99.57	3906853
GCF_005786105.1	0.25	99.85	3892173
GCF_005786115.1	0.25	99.83	3813623
GCF_005786135.1	0.25	99.9	3913227
GCF_005786185.1	0.25	99.94	3962314
GCF_005786205.1	0.25	99.83	3844851
GCF_005786215.1	0.25	99.83	3969703
GCF_005786225.1	0.25	99.94	3940775
GCF_005786235.1	0.25	99.94	3929493
GCF_005786285.1	0.25	99.83	3870918
GCF_005786305.1	0.25	99.94	3850537
GCF_005786315.1	0.25	99.94	3829350
GCF_005786335.1	0.25	99.94	3823537
GCF_002803025.2	0.25	99.61	3759495
GCF_005519135.1			4013643
GCF_004794235.2	1.97	98.45	4019123
GCF_004794275.2	0.67	98.03	3971718
GCF_004797155.2	0.67	97.77	4016303
GCF_002811175.1	0.06	99.52	3980527
GCF_002919905.1	0.62	98.93	4060087
GCF_002899995.1	1.06	97.26	3877074
GCF_003812245.1	0.36	99.99	4021456
GCF_003812225.1	0.36	99.99	3953244
GCF_003938905.1	2.01	99.99	4126262
GCF_003937785.1	1.42	99.99	4282746
GCF_003940475.1	1.03	99.57	4531518
GCF_003812205.1	0.37	99.99	4166595
GCF_003428595.1	0.36	99.94	3892159
GCF_009035845.1	0.06	99.52	3999136
GCF_005786365.1	0.25	99.94	3840599
GCF_005786375.1	0.25	99.83	3905226
GCF_005786405.1	0.25	99.94	3936458
GCF_005786425.1	0.25	99.94	4047482
GCF_005786435.1	0.25	99.94	3775481
GCF_005786445.1	0.25	99.94	3778082
GCF_005786455.1	0.25	99.94	3774830
GCF_005786505.1	0.25	99.79	3907852
GCF_005786525.1	0.25	99.79	3920433
GCF_005786535.1	0.25	99.9	3903906
GCF_005786545.1	0.25	99.57	3903082
GCF_005786585.1	0.25	99.83	3799522
GCF_005786595.1	0.25	99.83	3895993
GCF_005819005.1	0.27	99.83	3951687
GCF_005819035.1	0.25	99.75	3922928
GCF_005819065.1	0.27	99.83	3864068
GCF_005819085.1	0.25	99.83	3995672
GCF_005819095.1	0.25	99.83	3922402
GCF_005819115.1	0.27	99.83	3952179
GCF_005819135.1	0.25	99.83	4001438
GCF_005819165.1	0.17	99.61	4011437
GCF_005819175.1	0.25	99.78	3952743
GCF_005819205.1	0.25	99.94	3941810
GCF_005819215.1	0.4	99.1	4071590
GCF_005819225.1	0.17	99.27	4150963
GCF_005819265.1	1.3	99.61	4105828
GCF_005819275.1	0.53	99.78	3949681
GCF_005819305.1	0.25	99.02	3972032
GCF_005819315.1	0.61	99.47	4040321
GCF_005819325.1	0.17	99.94	4075382
GCF_005819365.1	0.61	99.47	4105181
GCF_005819375.1	0.25	99.44	3917388
GCF_005819405.1	0.25	99.83	3911110
GCF_005819415.1	1.82	99.72	4249313
GCF_005819425.1	2.43	99.07	4342792
GCF_005819445.1	0.83	99.88	4018449
GCF_005819475.1	0.61	99.47	4043940
GCF_005819505.1	0.25	99.61	4025729
GCF_005819515.1	0.32	99.54	3939823
GCF_005819535.1	0.25	99.83	4044421
GCF_005819545.1	0.25	99.83	3855712
GCF_005819585.1	5.32	99.47	4168343
GCF_005819595.1	0.27	99.83	3953406
GCF_005819625.1	0.17	99.27	3953292
GCF_005819635.1	0.25	99.83	3921795
GCF_005819645.1	0.17	99.46	3882311
GCF_005819685.1	0.71	99.78	4181765
GCF_005819705.1	0.25	99.72	3993980
GCF_005819725.1	5.83	99.46	4303423
GCF_005819735.1	0.49	99.52	3924474
GCF_005819755.1	0.25	99.16	3949083
GCF_005819765.1	0.4	99.83	3895608
GCF_005863285.1	0.25	98.23	3661409
GCF_005863305.1	0.25	99.61	3775383
GCF_005863345.1	0.17	99.72	4005515
GCF_005863355.1	0.25	98.56	3678109
GCF_005863385.1	0.17	99.72	4006170
GCF_005863395.1	0.25	98.56	3678290
GCF_005863405.1	0.25	98.56	3678563
GCF_005863415.1	0.25	98.56	3677288
GCF_005863455.1	0.25	98.56	3678714
GCF_005863535.1	0.17	99.72	3940559
GCF_006365355.1	0.25	99.7	3995420
GCF_006365365.1	0.25	99.78	3928153
GCF_006365375.1	0.25	99.94	4081287
GCF_006365385.1	0.25	99.94	4062972
GCF_006365405.1	0.25	99.94	3853267
GCF_006365455.1	0.17	99.44	4064385
GCF_006365465.1	0.25	99.94	3943530
GCF_006365495.1	0.25	99.27	3940814
GCF_006365515.1	0.93	99.86	3948004
GCF_006365525.1	0.17	99.52	4006919
GCF_006365555.1	0.25	99.27	3949147
GCF_006365565.1	0.19	99.69	4034505
GCF_006365575.1	0.25	99.83	3978248
GCF_006365585.1	0.5	99.94	4081027
GCF_006365635.1	0.17	99.58	4095652
GCF_006365655.1	0.25	99.83	3971513
GCF_006365665.1	0.25	99.76	3980200
GCF_006365675.1	0.25	99.83	3969215
GCF_006365685.1	0.25	99.76	3966654
GCF_006365735.1	0.25	99.83	3974620
GCF_006365745.1	0.25	99.61	3990761
GCF_006365775.1	0.25	99.27	3943830
GCF_006365795.1	0.25	99.83	3974385
GCF_006365805.1	0.25	99.83	3947840
GCF_006365835.1	0.25	99.83	3963290
GCF_006365845.1	0.25	99.83	3964795
GCF_006365865.1	0.25	99.83	3930883
GCF_006365885.1	0.19	99.86	4034860
GCF_006365895.1	0.25	99.27	3948537
GCF_006365935.1	0.25	99.83	3972991
GCF_006365945.1	0.25	99.83	4016981
GCF_006365955.1	0.25	99.83	3958135
GCF_006365965.1	0.08	99.12	4069749
GCF_006365975.1	0.17	99.94	4043111
GCF_006366035.1	0.25	99.83	3975981
GCF_006366055.1	0.25	99.83	3970571
GCF_006366065.1	0.25	99.83	3975147
GCF_006366085.1	0.25	99.83	3950362
GCF_006366115.1	0.25	99.94	3951820
GCF_006366125.1	0.25	99.83	3956303
GCF_006366135.1	0.25	99.83	3969952
GCF_006366155.1	0.19	99.86	3999348
GCF_006366195.1	0.17	99.94	4010429
GCF_006366215.1	0.25	99.91	4094507
GCF_006366235.1	0.25	99.27	3945506
GCF_006366245.1	0.25	99.61	3989848
GCF_006366275.1	0.25	99.5	3909860
GCF_006366285.1	0.25	99.94	3967632
GCF_006366315.1	0.25	99.83	3962366
GCF_006366335.1	0.37	98.85	3774259
GCF_006366355.1	0.25	99.83	3976540
GCF_006366365.1	0.25	99.83	3890209
GCF_006366385.1	0.25	99.78	3975147
GCF_006366405.1	0.25	99.83	3965401
GCF_006366435.1	0.25	99.83	3966375
GCF_006366445.1	0.25	99.83	3956704
GCF_006366465.1	0.25	99.94	3968975
GCF_006366475.1	0.25	99.94	4018848
GCF_006366515.1	0.17	99.94	4007239
GCF_006366535.1	0.25	99.94	4064186
GCF_006366545.1	0.25	99.76	3962267
GCF_006366575.1	0.25	99.45	3882765
GCF_006366585.1	0.25	99.94	4083611
GCF_006366595.1	0.17	99.61	4031461
GCF_006366635.1	0.25	99.94	3920288
GCF_006366645.1	0.25	99.7	3997484
GCF_006366665.1	0.25	99.83	3934166
GCF_006366685.1	0.25	99.94	3938448
GCF_006366715.1	0.17	99.44	4075487
GCF_006366735.1	0.5	99.94	4074076
GCF_006366745.1	0.25	99.27	3943960
GCF_006366755.1	0.25	99.27	3944974
GCF_006366785.1	0.19	99.86	4037911
GCF_006366805.1	0.17	99.58	4095330
GCF_006366825.1	0.31	99.76	3983357
GCF_006366845.1	0.25	99.83	3975371
GCF_006366875.1	0.25	99.83	3969300
GCF_006366895.1	0.25	99.83	3969899
GCF_006366905.1	0.25	99.6	3965473
GCF_006366925.1	0.25	99.76	3970752
GCF_006366935.1	0.25	99.83	3971098
GCF_006366975.1	0.25	99.83	3969479
GCF_006366985.1	0.25	99.83	3973546
GCF_006367015.1	0.25	99.83	3974826
GCF_006367025.1	0.25	99.27	3939424
GCF_006367045.1	0.25	99.83	3969439
GCF_006367055.1	0.25	99.61	3994932
GCF_006367085.1	0.17	99.58	4168359
GCF_006367115.1	0.25	99.83	3949608
GCF_006367125.1	0.5	99.94	4072210
GCF_006367135.1	0.25	99.8	3963865
GCF_006367175.1	0.25	99.83	3967828
GCF_006367195.1	0.25	99.83	4005953
GCF_006367205.1	0.25	99.83	3948838
GCF_006367225.1	0.25	99.83	3985893
GCF_006367245.1	0.25	99.83	3974685
GCF_006367275.1	0.25	99.7	3999600
GCF_006367285.1	0.25	99.5	3905709
GCF_006367295.1	0.25	99.26	3942110
GCF_006367335.1	0.25	99.61	3893551
GCF_006367345.1	0.31	99.94	3961240
GCF_006367375.1	0.25	99.91	4085359
GCF_006367395.1	1.51	99.52	3885146
GCF_006367405.1	0.25	99.83	3973909
GCF_006367435.1	0.25	99.83	3964542
GCF_006367475.1	0.25	99.83	3963941
GCF_006367485.1	0.25	99.94	4008614
GCF_006367505.1	0.25	99.83	3965206
GCF_006367515.1	0.25	99.78	3969658
GCF_006367535.1	0.25	99.61	3958740
GCF_006367575.1	0.17	99.61	4018436
GCF_006367595.1	0.25	99.94	3963032
GCF_006367605.1	0.25	99.27	3906686
GCF_006367615.1	0.25	99.94	3956689
GCF_006367625.1	0.17	99.58	4092699
GCF_006367675.1	0.25	99.78	3944849
GCF_006367685.1	0.17	99.94	3969875
GCF_006367695.1	0.25	99.7	4010402
GCF_006367735.1	0.25	99.83	3923748
GCF_006367745.1	0.17	99.94	4052236
GCF_006367765.1	0.25	99.83	3975738
GCF_006367795.1	0.31	99.83	3972408
GCF_006367805.1	0.25	99.83	4103815
GCF_006367835.1	0.25	99.27	3951761
GCF_006367845.1	0.19	99.86	4025088
GCF_006367855.1	0.93	99.72	3944244
GCF_006367895.1	0.08	99.12	4112233
GCF_006367905.1	0.17	99.61	3995606
GCF_006367915.1	0.25	99.83	4019507
GCF_006367945.1	0.25	99.83	3971922
GCF_006367965.1	0.17	99.94	4039622
GCF_006367995.1	0.25	99.61	3991179
GCF_006368005.1	0.25	99.83	3961167
GCF_006368025.1	0.25	99.7	4008572
GCF_006368045.1	0.25	99.83	3933046
GCF_006368055.1	0.25	99.63	4014214
GCF_006368095.1	0.25	99.83	3975322
GCF_006368105.1	0.25	99.78	3968993
GCF_006368125.1	0.25	99.81	3977850
GCF_006368155.1	0.25	99.83	3976029
GCF_006368165.1	0.17	99.61	3839150
GCF_006369695.1	0.17	99.94	3924913
GCF_006369735.1	0.25	99.94	3909817
GCF_006369755.1	0.43	99.27	3995250
GCF_006369795.1	0.61	99.94	4056479
GCF_006369805.1	0.47	99.94	4032998
GCF_006369815.1	0.25	99.94	4093736
GCF_006369835.1	0.25	99.5	3946257
GCF_006369845.1	0.36	99.88	4048595
GCF_006376725.1	0.25	99.83	3956774
GCF_006385075.1	0.25	99.05	4130187
GCF_006491855.1	0.25	99.47	4055475
GCF_006491865.1	0.27	99.83	4011288
GCF_006491875.1	1.62	99.69	3889343
GCF_006491885.1	0.42	99.75	3935274
GCF_006491955.1	1.24	99.12	3680944
GCF_006491965.1	0.25	99.61	3948563
GCF_006491975.1	0.17	99.5	3868219
GCF_006491985.1	0.17	99.57	3982188
GCF_006492055.1	0.46	99.52	3801109
GCF_006492065.1	0.27	99.52	3775402
GCF_006492075.1	0.17	99.61	3752286
GCF_006492085.1	0.47	99.52	4065721
GCF_006492125.1	0.14	99.2	4048513
GCF_006492155.1	0.17	99.94	3962420
GCF_006492165.1	0.17	99.61	3996674
GCF_006492175.1	0.59	99.68	3899794
GCF_006492195.1	0.17	99.61	4102859
GCF_006492215.1	1.26	99.86	3950803
GCF_006492245.1	0.34	99.27	3879513
GCF_006492265.1	0.53	99.75	4198708
GCF_006492295.1	3.93	97.9	3746484
GCF_006492305.1	0.17	98.82	3805274
GCF_006492315.1	0.99	99.86	4061055
GCF_006492335.1	0.38	99.79	3937858
GCF_006492375.1	0.54	98.94	3812338
GCF_006492385.1	0.17	99.86	3896092
GCF_006492395.1	0.25	99.61	4042424
GCF_006492405.1	1.49	99.52	4037631
GCF_006492425.1	2	99.44	4148616
GCF_006492475.1	0.46	99.86	3875084
GCF_006492495.1	0.31	99.86	3947544
GCF_006492505.1	1.06	99.86	4041514
GCF_006492515.1	1.14	99.86	3835385
GCF_006492525.1	0.25	99.44	4041119
GCF_006492575.1	0.51	99.27	4026208
GCF_006492585.1	0.36	98.94	3819538
GCF_006492615.1	3.03	99.86	4445863
GCF_006492625.1	0.17	99.92	3886800
GCF_006492635.1	0.53	99.66	3953918
GCF_006492675.1	0.17	99.83	3917444
GCF_006492685.1	0.72	99.61	3833740
GCF_006492705.1	0.02	99.94	3894870
GCF_006492715.1	0.86	99.75	3703732
GCF_006492735.1	0.79	99.83	3922954
GCF_006492775.1	0.79	99.86	3909402
GCF_006492785.1	0.48	99.52	3923256
GCF_006492795.1	1.27	99.61	3960624
GCF_006492805.1	1.58	99.36	4317378
GCF_006492855.1	0.19	99.61	3796337
GCF_006492865.1	0.17	99.94	3823200
GCF_006492885.1	1.32	99.86	3998300
GCF_006492905.1	0.59	99.86	3757122
GCF_006492925.1	0.17	99.23	3706926
GCF_006492945.1	0.67	98.31	3732873
GCF_006492965.1	1.23	99.86	4104814
GCF_006492985.1	1.72	98.13	3619982
GCF_006493005.1	0.49	99.17	3867941
GCF_006493035.1	0.42	99.79	3907353
GCF_006493045.1	0.42	99.86	3921060
GCF_006493645.1	0.17	99.84	3989574
GCF_006493655.1	0.17	99.84	4019329
GCF_006493685.1	0.61	99.78	3889009
GCF_006493705.1	0.68	99.44	3989228
GCF_006493735.1	1.45	99.94	3931403
GCF_006493745.1	0.21	99.83	3986885
GCF_006493755.1	0.25	99.61	3817891
GCF_006493765.1	0.23	99.61	3925966
GCF_006493815.1	0.53	99.94	3837962
GCF_006493835.1	0.48	99.52	3829133
GCF_006493845.1	0.04	99.83	3630368
GCF_006493855.1	0.56	99.88	3965266
GCF_006493875.1	1.77	97.58	3799869
GCF_006493915.1	0.58	99.12	3952891
GCF_006493925.1	0.17	99.94	3906382
GCF_006493945.1	1.06	99.69	3938547
GCF_006493955.1	0.34	99.47	3863917
GCF_006493975.1	1.18	98.91	4052536
GCF_006494005.1	0.17	99.61	3948243
GCF_006494015.1	0.86	99.61	4202796
GCF_006494055.1	0.59	99.86	3923441
GCF_006494065.1	0.25	99.89	3890126
GCF_006494075.1	0.24	99.61	3978677
GCF_006494085.1	0.25	99.54	3880445
GCF_006494115.1	0.33	99.78	3943650
GCF_006494155.1	0.25	99.52	3892035
GCF_006494165.1	0.25	99.61	3952074
GCF_006494175.1	0.76	99.9	4206263
GCF_006494215.1	0.17	99.27	3783835
GCF_006494225.1	0.97	99.33	4264839
GCF_006494255.1	1.09	99.78	3896841
GCF_006494265.1	0.17	99.86	3809768
GCF_006494285.1	1.03	99.52	3954711
GCF_006494305.1	1.26	99.61	3879236
GCF_006494565.1	0.91	99.86	4021075
GCF_006494575.1	1.21	98.73	3799027
GCF_006494585.1	0.59	99.41	3901251
GCF_006494615.1	2.18	99.57	4066255
GCF_006494665.1	0.51	99.27	3941955
GCF_006538225.1			3918551
GCF_006658565.1	0.08	99.78	4074841
GCF_006658595.1	0.92	99.75	4086552
GCF_006843645.1	0.36	99.27	4136114
GCF_006937715.1	0.31	98.82	3885721
GCF_006937725.1	0.35	99.94	4047160
GCF_007107525.1	0.27	99.74	3960760
GCF_007113605.1	1.24	98.8	4153672
GCF_007113625.1			4164124
GCF_007113635.1	0.29	99.83	4102124
GCF_007113645.1	1.56	98.8	4138124
GCF_007113765.1			4202227
GCF_007113785.1	0.54	99.94	4506282
GCF_007113795.1	0.35	99.83	4105662
GCF_007113815.1	0.7	99.83	4198229
GCF_007113845.1	0.25	99.83	4144717
GCF_007113875.1	0.4	99.83	4117553
GCF_007115055.1	2.54	98.82	4210466
GCF_007197635.1	0.27	99.34	3978188
GCF_007197865.1	0.25	99.29	3833277
GCF_007221455.1	0.17	99.84	3896541
GCF_007647215.1	0.25	99.47	4002648
GCF_007713645.1	0.25	99.83	3821917
GCF_007713655.1	1.26	97.48	3715239
GCF_007833155.1	2.62	99.08	3796133
GCF_007833195.1	0.74	99.83	3800237
GCF_007999045.1	0.58	99.83	3990834
GCF_007999055.1	0.64	99.83	4235363
GCF_007999075.1	0.64	99.83	4104353
GCF_007999145.1	0.38	99.83	3983222
GCF_007999155.1	3.52	99.72	4189920
GCF_007999165.1	0.67	99.83	4004861
GCF_007999175.1	0.25	99.75	3920565
GCF_007999225.1	0.25	99.83	3978831
GCF_007999255.1	0.95	99.81	4088011
GCF_007999305.1	1.1	99.83	4024127
GCF_007999345.1	1.26	99.83	4174939
GCF_007999365.1	0.68	99.83	3941645
GCF_007999405.1	0.6	99.81	4104348
GCF_007999425.1	0.62	99.83	3991980
GCF_007999465.1	2.04	99.81	4232776
GCF_007999485.1	0.43	99.83	3940958
GCF_007999515.1	0.47	99.83	4087721
GCF_007999525.1	0.49	99.83	3965335
GCF_007999555.1	0.28	99.5	3885453
GCF_007999585.1	1.71	99.47	4258750
GCF_007999625.1	0.36	99.5	3953084
GCF_007999635.1	0.49	99.5	3914588
